ID;Obra;ApellAutor;NomAutor;Tonalidad;Opus;Duracion
1038;Capricho Italiano;Tchaikovsky; Piotr Ilyich;45;16' 02;
1039;Divertimento;Mozart; Wolfgang Amadeus;Fa M;K 138;12' 50
1040;Mazurca - Choro;Villa-Lobos; Heitor;2' 52;;
1041;Introduccion y Allegro;Elgar; Edward;47;13' 59;
1042;Responsorios de Tinieblas;De Victoria; Tomas Luis;34' 06;;
1043;Rondo a capriccio, “Rabia por una moneda perdida”;Beethoven; Ludwig Van;Sol M;129;5' 32
1044;El Mesias. Aleluya.;Haendel; Georges Friederic;3' 55;;
1045;Obertura “Ruinas de Atenas”;Beethoven; Ludwig Van;113;5' 13;
1046;Variaciones sobre un tema de J. Haydn;Brahms; Johannes;Do m;056 a;17' 37
1047;Sonata para piano n. 23. “Apasionada”;Beethoven; Ludwig Van;Fa m;57;24' 44
1048;Sinfonia n. 5, 1º movimiento.;Beethoven; Ludwig Van;Do m;67;7' 14
1049;Gaspar de la noche;Ravel; Maurice;21' 28;;
1050;Liturgia de San Juan Crisostomo.;Tchaikovsky; Piotr Ilyich;41;78' 03;
1051;El murcielago;Strauss; Johann (Hijo);76' 24;;
1052;Concierto para violin, cuerda y bajo continuo;Bach; Johann Sebastian;La m;BWV 1041;14' 57
1053;Las lagrimas;Tchaikovsky; Piotr Ilyich;065 / 5;2' 48;
1054;Fantasias;Brahms; Johannes;116;22' 49;
1055;Romance para violin y orquesta n. 2;Beethoven; Ludwig Van;Fa M;50;8' 19
1056;Las noches de verano;Berlioz; Hector;32' 10;;
1057;Los Pinos de Roma;Respighi; Ottorino;21' 58;;
1058;El barbero de sevilla. Obertura;Rossini; Gioacchino Antonio;7' 42;;
1059;Ritmos y cantos aztecas;Ponce; Manuel;3' 44;;
1060;Preludio, Coral y Fuga;Franck; Cesar ;18' 41;;
1061;Sigfrido;Wagner; Richard;46' 30;;
1062;Oratorio de Navidad;Bach; Johann Sebastian;BWV 0248;18' 19;
1063;Bourree;Bach; Johann Sebastian;3' 24;;
1064;Misa de la Coronacion.;Mozart; Wolfgang Amadeus;Do M;K 317;26' 10
1065;Septeto;Beethoven; Ludwig Van;Mi b M;20;39' 23
1066;Obertura de Aroldo.;Verdi; Giuseppe;9' 35;;
1067;Tu y tu;Strauss; Johann (Hijo);367;3' 04;
1068;Sinfonia n. 33;Mozart; Wolfgang Amadeus;Si b M;K 319;24' 04
1069;Noche y suegnos;Schubert; Franz;D 827;4' 57;
1070;Sinfonia n. 9;Bruckner; Anton;Re m;65' 19;
1071;Sonata no. 1 para violin y piano;Bloch; Ernest;30' 58;;
1072;Otello;Verdi; Giuseppe;66' 56;;
1073;Polonesa n. 6 “Heroica”;Chopin; Frederic;La b M;53;7' 02
1074;Motete n. 227;Bach; Johann Sebastian;BWV 0227;24' 25;
1075;Fantasia sobre un tema de Thomas Tallis;Vaughan Williams; Ralph;16' 13;;
1076;Quinteto para guitarra n. 9;Boccherini; Luigi;Do M;G 453;24' 47
1077;Fantasia y fuga;Bach; Johann Sebastian;Do m;BWV 0537;9' 27
1078;Concierto Warsaw;Addinsell; Richard;8' 29;;
1079;Sonata para clavicembalo;Scarlatti; Domenico;K 527;3' 56;
1080;Bolero;Ravel; Maurice;17' 21;;
1081;El reloj y las figuras de Dresden;Ketelbey; Albert;3' 59;;
1082;Rosa Salvaje;Schubert; Franz;D 257;1' 58;
1083;Suite de Danzas;Bartok; Bela;Sz 077;15' 18;
1084;Pedro y el lobo (castellano);Prokofiev; Serge;67;26' 40;
1085;Sonata n. 1 para viola y piano;Brahms; Johannes;Fa m;120 / 1;23' 06
1086;Minueto;Mozart; Wolfgang Amadeus;Re M;4' 13;
1087;Concierto para trompeta, 2 oboes y orquesta;Fash; Johann Friedrich;Re M;6' 40;
1088;Concierto para flauta y cuerda;Bach; Carl Philipp;Sol M;25' 29;
1089;Adagio para organo y cuerdas.;Albinoni; Tomaso;Sol m;4' 14;
1090;Cuba;Albeniz; Isaac;4' 52;;
1091;Sonata para dos pianos;Mozart; Wolfgang Amadeus;Si b M;K 358;17' 38
1092;Psalme 10, 1-2.;Mendelssohn-Bartholdy; Felix; ;79;7' 25
1093;El canto del ruisegnor;Stravinsky; Igor;22' 35;;
1094;Sonata para piano n. 32;Beethoven; Ludwig Van;Do m;111;38' 06
1095;Cuadros de una exposicion;Mussorgsky; Modest;34' 36;;
1096;Sonata Eroica;Giuliani; Mauro;150;8' 26;
1097;Variaciones sobre un tema de Haydn para dos pianos;Brahms; Johannes;056 b;16' 11;
1098;Catulli Carmina;Off; Carl;36' 53;;
1099;Finlandia;Sibelius; Jean;26;9' 13;
1100;Quinteto n. 7  dos violines, alto, violonchelo, guitarra;Boccherini; Luigi;Mi m;5' 17;
1101;Sinfonia n. 1;Brahms; Johannes;Do m;68;44' 27
1102;La primavera;Castelnuovo-Tedesco; Mario;1' 58;;
1103;Sinfonia n. 85 “La Reina”;Haydn; Franz Joseph;Mi b M;22' 38;
1104;Rapsodia para contralto;Brahms; Johannes;53;14' 28;
1105;Concierto para flauta y orquesta;Stamitz; Karl;Re M;15' 26;
1106;Suite de “La Arlesiana” n. 2;Bizet; Georges;19' 14;;
1107;Visperas de la Virgen Maria;Monteverdi; Claudio;24' 43;;
1108;Ave Maria;Schubert; Franz;D 839;6' 56;
1109;Concierto para violin y orquesta n. 1;Mozart; Wolfgang Amadeus;Si b M;K 207;20' 35
1110;Sinfonia n. 48, “Maria Teresa”;Haydn; Franz Joseph;Do M;HV 01 / 48;22' 51
1111;Concierto grosso n. 8;Corelli; Arcangelo;Sol m;06-ago;16' 28
1112;Obertura “La gran Pascua rusa”;Rimsky-Korsakov; Nicolai;36;14' 20;
1113;Concierto para flauta y cuerda;Bach; Johann Christian;Re M;18' 12;
1114;Concierto para violin y orquesta n. 4;Mozart; Wolfgang Amadeus;Re M;K 218;24' 19
1115;Polonesa;Chopin; Frederic;Fa # M;44;10' 47
1116;Sinfonia concertante para oboe, clarinete y orquesta;Mozart; Wolfgang Amadeus;Mi b M;K 297 b;32' 30
1117;Tosca;Puccini; Giacomo;69' 51;;
1118;La trucha;Schubert; Franz;D 550;2' 09;
1119;Seis conciertos. 6.;Vivaldi; Antonio;RV 437 (10);8' 24;
1120;Nanie;Brahms; Johannes;82;14' 12;
1121;Tango;Salzedo; Carlos;3' 39;;
1122;Concierto para violin;Mendelssohn-Bartholdy; Felix;Mi m;64;28' 43
1123;Siciliano (Arreglo De la Sonata para violin n. 4);Bach; Johann Sebastian;Do m;BWV 1017;2'
1124;Sinfonietta;Halffter; Ernesto;Re M;38' 00;
1125;Sonata para piano;Schubert; Franz;Si b M;D 960;43' 21
1126;Asi hablo Zarathustra;Strauss; Richard;30;31' 22;
1127;Polonesa de “Rusalka”;Dvorak; Antonin;4' 18;;
1128;Don Juan;Strauss; Richard;20;16' 15;
1129;Junto a tu corazon - Vals;Barrios; Agustin;3' 58;;
1130;Cuarteto para cuerda;Debussy; Claude;Sol m;10;24' 15
1131;Concierto para piano n. 23;Mozart; Wolfgang Amadeus;La M;K 488;26' 14
1132;A Song before Sunrise;Delius; Frederick;6' 06;;
1133;El duende del agua.;Dvorak; Antonin;107;22' 14;
1134;Momento musical n. 2;Schubert; Franz;Fa m;D 094;1' 30
1135;Tosca;Puccini; Giacomo;119' 22;;
1136;Obertura de Nabucco.;Verdi; Giuseppe;7' 49;;
1137;Variaciones sobre un tema Rococo para violonchello;Tchaikovsky; Piotr Ilyich;33;17' 49;
1138;Fantasia y fuga;Bach; Johann Sebastian;Sol m;BWV 0542;12' 55
1139;Exultate jubilate;Mozart; Wolfgang Amadeus;K 165;16' 01;
1140;Fantasia sobre “Greensleeves”;Vaughan Williams; Ralph;4' 39;;
1141;Fancy Free;Bernstein; Leonard;27' 15;;
1142;Marcha eslava;Tchaikovsky; Piotr Ilyich;10' 47;;
1143;Nocturno n. 8;Chopin; Frederic;Re b M;27-feb;6' 28
1144;Concierto para trompeta y orquesta n. 1;Molter; Johann Melchior;Re M;11' 54;
1145;Romanza sin palabras;Mendelssohn-Bartholdy; Felix;030 / 3;1' 56;
1146;Misa “O quam gloriosum”;De Victoria; Tomas Luis;34' 06;;
1147;Obertura de “El Carnaval Romano”;Berlioz; Hector;9;9' 17;
1148;Obertura de “El Murcielago”;Strauss; Johann (Hijo);8' 15;;
1149;Cuarteto de cuerdas n. 10 “Arpa”;Beethoven; Ludwig Van;Mi b M;74;30' 33
1150;Sevilla de la Suite Espagnola;Albeniz; Isaac;4' 54;;
1151;Quinteto para guitarra n. 7;Boccherini; Luigi;Mi m;G 451;19' 15
1152;Piezas liricas – Libro 4;Grieg; Edvard Hagerup;47;12' 57;
1153;Danza hungara n. 17;Brahms; Johannes;3' 09;;
1154;Cuarteto de cuerda;Grieg; Edvard Hagerup;Mi m;32' 04;
1155;Vals n. 8;Chopin; Frederic;La b M;64 / 3;3' 39
1156;Sinfonia n. 6 “Patetica”;Tchaikovsky; Piotr Ilyich;Si m;74;45' 57
1157;Sinfonia n. 4;Beethoven; Ludwig Van;Si b M;60;21' 47
1158;Missa Solemnis;Beethoven; Ludwig Van;Re M;123;76' 15
1159;Madrigales (8);Monteverdi; Claudio;42' 40;;
1160;Las cuatro estaciones. El otogno;Vivaldi; Antonio;RV 293;10' 59;
1161;Sonata  - Marcha Funebre;Chopin; Frederic;Si b;35;8' 16
1162;Concierto para guitarra y orquesta de cuerdas;Vivaldi; Antonio;Re M;RV 093;9' 53
1163;Elegia;Elgar; Edward;58;4' 22;
1164;Norma;Bellini; Vincenzo;64' 39;;
1165;Concierto para piano y orquesta n. 1;Prokofiev; Serge;Re M;19;22' 05
1166;Toccata;Bogdanovic; Dusan;2' 10;;
1167;Quinteto per archi n. 3;Boccherini; Luigi;Fa M;20-mar;17' 43
1168;Cuarteto de cuerda n. 1 “De mi vida”;Smetana; Bedrich;Mi m;27' 09;
1169;Sleighride;Delius; Frederick;5' 28;;
1170;El suegno de Geroncio;Elgar; Edward;38;93' 52;
1171;La bella durmiente del bosque;Tchaikovsky; Piotr Ilyich;66;155' 35;
1172;Intermedio n. 2. “Tierna”;Brahms; Johannes;Si b M;117 / 2;4' 52
1173;Concierto n. 5 para clavicordio, cuerdas y continuo;Bach; Johann Sebastian;Fa m;BWV 1056;10' 36
1174;Rapsodia para contralto;Brahms; Johannes;53;11' 27;
1175;Suite Karelia;Sibelius; Jean;11;15' 48;
1176;En el jardin del Templo Chino;Ketelbey; Albert;6' 52;;
1177;Metamorfosis;Strauss; Richard;28' 14;;
1178;Reverie du soir;Tchaikovsky; Piotr Ilyich;Sol m;019 / 1;4' 14
1179;El aprendiz de brujo;Dukas; Paul;10' 24;;
1180;El testamento de Amelia;Llobet; Miguel;1' 54;;
1181;Intermedio n. 1. “Nebulosa”;Brahms; Johannes;Mi b M;117 / 1;4' 51
1182;Fue en el comienzo de la primavera;Tchaikovsky; Piotr Ilyich;038 / 2;2' 25;
1183;Cavalleria rusticana: Intermedio.;Mascagni; Pietro;3' 27;;
1184;Granada;Albeniz; Isaac;4' 42;;
1185;Sinfonia n. 8;Dvorak; Antonin;Sol M;88;39' 26
1186;Concierto para cuatro violines sin continuo;Telemann; Georg Philipp;Do M;7' 51;
1187;Rapsodia sobre un tema de Paganini. Variacion 18.;Rachmaninov; Sergei;43 / 18;3' 18;
1188;Canciones de la tierra;Mahler; Gustav;58' 34;;
1189;Sinfonia Clasica;Prokofiev; Serge;25;14' 10;
1190;Mi genio, mi angel, mi amor;Tchaikovsky; Piotr Ilyich;1' 23;;
1191;Viola;Schubert; Franz;D 786;15' 10;
1192;Ave verum corpus;Mozart; Wolfgang Amadeus;K 618;1' 58;
1193;La consagracion de la primavera;Stravinsky; Igor;35' 16;;
1194;Bachianas Brasileiras n. 5;Villa-Lobos; Heitor;10' 48;;
1195;Danza hungara n. 16;Brahms; Johannes;2' 57;;
1196;Preludios – Primer Libro;Debussy; Claude;25' 48;;
1197;Cuarteto de cuerdas n. 9 “Rasumovsky”;Beethoven; Ludwig Van;Do M;059 / 3;29' 16
1198;Danza macabra;Saint-Saens; Camille;40;7' 04;
1199;Preludio (Arreglo del Clave bien temperado I,24);Bach; Johann Sebastian;Si m;3' 45;
1200;Das neugeborene Kindlein;Bach; Johann Sebastian;BWV 0122;3' 01;
1201;Concierto grosso n. 11;Corelli; Arcangelo;Si b M;06-nov;10' 06
1202;Danza hungara n. 11;Brahms; Johannes;4' 05;;
1203;La consagracion de la primavera;Stravinsky; Igor;33' 11;;
1204;Danza hungara n. 7;Brahms; Johannes;1' 48;;
1205;Recuerdos de la Alhambra;Tarrega; Francisco;4' 24;;
1206;Dumka - Escena rustica rusa;Tchaikovsky; Piotr Ilyich;Do m;59;8' 07
1207;Primavera;Tchaikovsky; Piotr Ilyich;054 / 9;2' 01;
1208;Dos danzas del “Amor Brujo”;Falla; Manuel de;5' 39;;
1209;El ruisegnor;Tchaikovsky; Piotr Ilyich;060 / 4;3' 17;
1210;Cantata n. 140: Dormidos, despertad, la voz llama.;Bach; Johann Sebastian;BWV 0140;33' 58;
1211;Divertimento;Mozart; Wolfgang Amadeus;Si b M;K 137;11' 01
1212;En Primavera;Schubert; Franz;D 882;5' 14;
1213;Vals Las hojas del amanecer;Strauss; Johann (Hijo);279;11' 15;
1214;Motete “O magnum mysterium”;De Victoria; Tomas Luis;34' 06;;
1215;Tocata y fuga;Bach; Johann Sebastian;Re m;BWV 0565;9' 15
1216;Cuadros Marinos para contraalto y orquesta;Elgar; Edward;37;23' 48;
1217;Musica de Mesa (3 cuadernos).;Telemann; Georg Philipp;251' 07;;
1218;Sinfonia n. 103, “Con redoble”;Haydn; Franz Joseph;Mi b M;30' 13;
1219;La novicia;Schubert; Franz;D 828;4' 31;
1220;Suite Francesa n. 1;Bach; Johann Sebastian;Re m;BWV 0812;12' 24
1221;Concierto n. 12;Locatelli; Pietro Antonio;Fa M;4;3' 28
1222;Aria y variaciones “La frescobalda”;Frescobaldi; Girolamo;6' 39;;
1223;El suegno de una noche de verano;Mendelssohn-Bartholdy; Felix;61;31' 15;
1224;Sinfonia n. 3;Schumann; Robert;Mi b M;97;29' 36
1225;Scherzo;Mussorgsky; Modest;Si b M;3' 35;
1226;¿ Por que sogne contigo ?;Tchaikovsky; Piotr Ilyich;028 / 3;2' 13;
1227;Sonata para piano n. 8 “Patetica”;Beethoven; Ludwig Van;Do m;13;18' 08
1228;Acentuado;Piazzola; Astor;3' 02;;
1229;Danza Eslovaca;Bartok; Bela;2' 13;;
1230;Humoresca;Tchaikovsky; Piotr Ilyich;Mi m;010 / 2;2' 34
1231;Cuarteto para cuerda n. 3;Tchaikovsky; Piotr Ilyich;Mi b m;30;38' 07
1232;Romance;Tchaikovsky; Piotr Ilyich;Fa M;051 / 5;7' 03
1233;Concierto para flauta de pico, violines y continuo;Telemann; Georg Philipp;Sol m;13' 31;
1234;Al estilo popular;Dvorak; Antonin;73;8' 45;
1235;Preludio;Rachmaninov; Sergei;Si b M;23-feb;2' 51
1236;Gran Vals;Tarrega; Francisco;3' 08;;
1237;Concierto para 2 clavicordios, cuerdas y continuo;Bach; Johann Sebastian;Do m;BWV 1062;14' 06
1238;Concierto para violin;Meyer; Edgar;26' 28;;
1239;Sonata para piano y violin n. 9 “Kreutzer”;Beethoven; Ludwig Van;La M;47;38' 11
1240;Motete “Ascendens Christus in altem”;De Victoria; Tomas Luis;34' 06;;
1241;Nocturno n. 12;Chopin; Frederic;Sol M;37 / 2;5' 50
1242;Polaca de concierto;Tchaikovsky; Piotr Ilyich;Mi # M;072 / 07;5' 33
1243;Gran sonata;Sor; Ferdinando;25;25' 21;
1244;Habanera;Halffter; Ernesto;4' 25;;
1245;Fantasias;Brahms; Johannes;116;24' 37;
1246;Lakme;Delibes; Leo;68' 06;;
1247;Variaciones sobre un tema Rococo para violonchello;Tchaikovsky; Piotr Ilyich;33;16' 42;
1248;¿ Es este el dia ?;Tchaikovsky; Piotr Ilyich;047 / 6;3' 14;
1249;Humoresca n. 7;Dvorak; Antonin;107;3' 25;
1250;Sinfonia n. 2;Rachmaninov; Sergei;Mi m;61' 21;
1251;Sevilla;Albeniz; Isaac;4' 54;;
1252;Nocturno n. 5;Chopin; Frederic;Fa # M;15-feb;3' 54
1253;DonGiovanni. 2 Aria.;Mozart; Wolfgang Amadeus; ; ;6' 55
1254;Rigoletto;Verdi; Giuseppe;124' 29;;
1255;Cantata Dir Seele de Weltalls. Coro.;Mozart; Wolfgang Amadeus; ;K 429;3' 35
1256;Gayane. Suite n. 2;Khachaturian; Aram;18' 08;;
1257;Vals El bello danubio azul;Strauss; Johann (Hijo);314;10' 38;
1258;Las bodas de Figaro;Mozart; Wolfgang Amadeus;K 492;60' 23;
1259;Pompa y Circunstancia ( 5 marchas militares);Elgar; Edward;39;26' 49;
1260;Zambra Granadina;Albeniz; Isaac;3' 47;;
1261;Palabras sencillas;Tchaikovsky; Piotr Ilyich;060 / 5;2' 45;
1262;Divertimentos;Sor; Ferdinando;23;13' 50;
1263;Sinfonia n. 4;Mahler; Gustav;54' 43;;
1264;Cuarteto para cuerdas “Emperador”;Haydn; Franz Joseph;Do M;76 / 3;23' 42
1265;Cuarteto para cuerdas n. 12 “Quartettsatz”;Schubert; Franz;D 703;10' 21;
1266;Concierto para piano y orquesta n. 3;Tchaikovsky; Piotr Ilyich;Mi b M;75;15' 57
1267;Concierto para Cello y orquesta n. 1;Haydn; Franz Joseph;Do M;23' 21;
1268;Zwolf Geditchte (Erstes Grun);Schumann; Robert;035 / 4;2' 10;
1269;7 canciones populares espagnolas.;Falla; Manuel de;12' 00;;
1270;Cuarteto para cuerdas “La caza”;Mozart; Wolfgang Amadeus;Si b M;K 458;25' 48
1271;Alfonsina y el mar;Ramirez; Ariel;4' 37;;
1272;Concierto para 2 violines y orquesta de cuerda;Torelli; Giuseppe;Do M;08-ene;10' 16
1273;Concierto para dos violines en scordatura y continuo;Telemann; Georg Philipp;La M;9' 05;
1274;Harold en Italia;Berlioz; Hector;16;43' 09;
1275;Valses (version para dos pianos);Brahms; Johannes;39;7' 22;
1276;Madrigal – Gavota;Barrios; Agustin;3' 38;;
1277;Concierto para clavicordio y orquesta;Bach; Johann Sebastian;Sol m;BWV 1056;10' 20
1278;Sonata para clavicembalo;Scarlatti; Domenico;Sol m;K 347;2' 15
1279;Shylock;Faure; Gabriel;57;19' 51;
1280;Parada para orquesta;Satie; Erik;14' 51;;
1281;Concierto de Brandenburgo n. 4;Bach; Johann Sebastian;Sol M;BWV 1049;16' 51
1282;Adelita;Tarrega; Francisco;1' 38;;
1283;Minuetto;Tarrega; Francisco;2' 15;;
1284;Rondo para violin y orquesta;Mozart; Wolfgang Amadeus;Si b M;K 269;7' 31
1285;Nocturno n. 14;Chopin; Frederic;Fa # m;48 / 2;7' 13
1286;Light as a Feather;Strauss; Johann (Hijo);319;2' 44;
1287;Concierto para violin y orquesta;Beethoven; Ludwig Van;Re M;61;46' 00
1288;Tzigane. Rapsodia de concierto;Ravel; Maurice;9' 33;;
1289;Divertimento n. 15;Mozart; Wolfgang Amadeus;Si b M;K 287;48' 30
1290;Sonata para clavicembalo;Scarlatti; Domenico;K 381;3' 20;
1291;Suite Francesa n. 2;Bach; Johann Sebastian;Do m;BWV 0813;11' 41
1292;Piezas liricas – Libro 5;Grieg; Edvard Hagerup;54;15' 15;
1293;Preludio para la siesta de un Fauno;Debussy; Claude;10' 36;;
1294;Sonata para violin solo;Bach; Johann Sebastian;Sol m;BWV 1001;16' 40
1295;Fantasia de “Greensleeves” para orquesta de cuerda, arp;Vaughan Williams; Ralph;4' 44;;
1296;Vals n. 2;Chopin; Frederic;La b M;34 / 1;4' 50
1297;Romanzas y Baladas (Tragodie I);Schumann; Robert;049 / 3;1' 28;
1298;Sinfonia n. 45, “Adios”;Haydn; Franz Joseph;Fa # m;26' 15;
1299;Obertura de Macbeth.;Verdi; Giuseppe;3' 26;;
1300;Principe Igor;Borodin; Alexander;35' 33;;
1301;“Iberia”, Imagen para orquesta n. 2;Debussy; Claude;20' 07;;
1302;Quinteto para clarinete, 2 violines, viola y violonchelo;Mozart; Wolfgang Amadeus;La M;K 581;33' 00
1303;Preludio n. 2;Villa-Lobos; Heitor;2' 38;;
1304;Obertura “Leonora” n. 3;Beethoven; Ludwig Van;072 a;14' 22;
1305;Quinteto n. 5  dos violines, alto, dos chelos. Minueto;Boccherini; Luigi;13-may;3' 36;
1306;Obertura del Festival Academico;Brahms; Johannes;80;9' 35;
1307;Concierto para 2 clavicordios, cuerdas y continuo;Bach; Johann Sebastian;Do m;BWV 1060;13' 04
1308;Quinteto per archi n. 6. “La musica noctturna di Madrid”;Boccherini; Luigi;Fa M;30-jun;13' 04
1309;La flauta magica;Mozart; Wolfgang Amadeus;K 620;61' 01;
1310;Peer Gynt, Suite n. 2;Grieg; Edvard Hagerup;55;16' 31;
1311;Sinfonia n. 3;Brahms; Johannes;Fa M;90;35' 08
1312;Concierto para piano y orquesta n. 21 “Elvira Madigan”;Mozart; Wolfgang Amadeus;Do M;K 467;28' 03
1313;Romance para violin y orquesta n. 2;Beethoven; Ludwig Van;Fa M;50;8' 55
1314;Ocho canciones de amor;Dvorak; Antonin;83;13' 14;
1315;El clave bien temperado. Parte 1. n. 1-12.;Bach; Johann Sebastian;BWV 0846;51' 33;
1316;Tasso: Poema sinfonico n. 2;Liszt; Franz;20' 15;;
1317;Los cuentos de Hoffmann;Offenbach; Jacques;68' 57;;
1318;Musica para cuerdas, percusion y celesta;Bartok; Bela;Sz 106;34' 48;
1319;Variaciones sobre un tema Rococo para violonchello;Tchaikovsky; Piotr Ilyich;33;19' 33;
1320;La hora espagnola;Ravel; Maurice;46' 09;;
1321;Sonatina;Moreno-Torroba; Federico;11' 43;;
1322;La Boheme;Puccini; Giacomo;66' 18;;
1323;Pulcinella;Stravinsky; Igor;38' 47;;
1324;Romeo y Julieta;Berlioz; Hector;6' 19;;
1325;Recuerdo de Pils;Smetana; Bedrich;2' 33;;
1326;Concierto para piano y orquesta n. 1;Rachmaninov; Sergei;Fa # m;1;26' 47
1327;Pavana para una infanta difunta;Ravel; Maurice;5' 44;;
1328;Pleasure Train;Strauss; Johann (Hijo);281;2' 52;
1329;Suite (obertura) n. 1;Bach; Johann Sebastian;Do M;BWV 1066;22' 26
1330;Berceuse;Faure; Gabriel;16;3' 33;
1331;Poema de octubre;Tchaikovsky; Piotr Ilyich;065 / 4;2' 29;
1332;Trio para piano;Tchaikovsky; Piotr Ilyich;La m;50;48' 49
1333;Obertura “Rosamunda”;Schubert; Franz;D 644;10' 24;
1334;Cadiz;Albeniz; Isaac;4' 28;;
1335;Anochecer;Tchaikovsky; Piotr Ilyich;027 / 4;2' 50;
1336;Claro de luna;Debussy; Claude;3' 55;;
1337;Noche de S. Juan en el monte pelado;Mussorgsky; Modest;11' 42;;
1338;Nocturno n. 3;Chopin; Frederic;Si M;09-mar;7' 15
1339;Canzone, Rondo;Ponce; Manuel;6' 40;;
1340;Sinfonia n. 40;Mozart; Wolfgang Amadeus;Sol m;K 550;24' 49
1341;Cuarteto para cuerda;Ravel; Maurice; Fa M;27' 18;
1342;Cantos de Auvergne;Canteloube; Joseph;47' 32;;
1343;Humoresque;Barrios; Agustin;3' 16;;
1344;Divertimento n. 1;Mozart; Wolfgang Amadeus;13' 06;;
1345;Sonata para piano n. 16;Mozart; Wolfgang Amadeus;Do M;K 545;12' 09
1346;Danzas Eslavas;Dvorak; Antonin;72;34' 26;
1347;Vals EL Tesoro;Strauss; Johann (Hijo);418;7' 35;
1348;Obertura de I vespri sicialini.;Verdi; Giuseppe;8' 39;;
1349;Romanzas y Baladas (Die beiden Grenadiere);Schumann; Robert;049 / 1;3' 45;
1350;Sinfonia n. 1, “Suegno de invierno”;Tchaikovsky; Piotr Ilyich;13;45' 35;
1351;Concerto grosso per il Santisimo Natale;Manfredini; Francesco;Do M;03-dic;10' 53
1352;Carmina Burana;Off; Carl;56' 09;;
1353;Sinfonia n. 2;Brahms; Johannes;Re M;73;44' 59
1354;Platero;Castelnuovo-Tedesco; Mario;2' 28;;
1355;Canon & Giga;Pachelbel; Johann;Re M;6' 06;
1356;Austrian Village Swallows;Strauss; Joseph;3' 52;;
1357;Minueto n. 6;Sor; Ferdinando;11;2' 19;
1358;Sanctus “Heilig ist Gott der Herr Zebaoth”;Mendelssohn-Bartholdy; Felix; ;1' 44;
1359;El Mesias;Haendel; Georges Friederic;151' 55;;
1360;Villancicos navidegnos rumanos;Bartok; Bela;Sz 057;11' 11;
1361;Concierto para piano y orquesta n. 5 “Emperador”;Beethoven; Ludwig Van;Mi b M;73;39' 57
1362;Vals n. 3;Chopin; Frederic;La m;34 / 2;5' 09
1363;Africa - Fantasia para piano y orquesta;Saint-Saens; Camille;11' 02;;
1364;Las estaciones;Tchaikovsky; Piotr Ilyich;37;41' 14;
1365;Preludio y fuga;Bach; Johann Sebastian;Fa m;BWV 0534;8' 29
1366;Concierto para violin y orquesta;Berg; Alban;24' 41;;
1367;Capricho brillante en jota aragonesa;Glinka; Mikhail;8' 54;;
1368;Obertura “Leonore” n. 3;Beethoven; Ludwig Van;072 b;14' 30;
1369;Cisne de Tuonel (Leyendas);Sibelius; Jean;22;9' 17;
1370;Don Quijote;Strauss; Richard;35;44' 47;
1371;Sinfonia n. 1, “El Titan”;Mahler; Gustav;Re M;53' 46;
1372;Concierto grosso n. 1;Corelli; Arcangelo;Re M;06-ene;14' 44
